"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Najot Talim\6-oy\imtihon\src\App.jsx", "JavaScript JSX", 19, 0, 0, 3, 22
"d:\Najot Talim\6-oy\imtihon\src\assets\icons\index.jsx", "JavaScript JSX", 332, 0, 0, 63, 395
"d:\Najot Talim\6-oy\imtihon\src\assets\images\index.jsx", "JavaScript JSX", 20, 0, 0, 1, 21
"d:\Najot Talim\6-oy\imtihon\src\components\brands\brandsItem.jsx", "JavaScript JSX", 8, 0, 0, 1, 9
"d:\Najot Talim\6-oy\imtihon\src\components\brands\brandsList.jsx", "JavaScript JSX", 12, 0, 0, 2, 14
"d:\Najot Talim\6-oy\imtihon\src\components\cars\allCars.jsx", "JavaScript JSX", 18, 0, 0, 5, 23
"d:\Najot Talim\6-oy\imtihon\src\components\cars\carItem.jsx", "JavaScript JSX", 33, 0, 0, 10, 43
"d:\Najot Talim\6-oy\imtihon\src\components\cars\categories.jsx", "JavaScript JSX", 33, 0, 0, 6, 39
"d:\Najot Talim\6-oy\imtihon\src\components\cars\index.jsx", "JavaScript JSX", 4, 0, 0, 1, 5
"d:\Najot Talim\6-oy\imtihon\src\components\header\button.jsx", "JavaScript JSX", 12, 0, 0, 2, 14
"d:\Najot Talim\6-oy\imtihon\src\components\header\href.jsx", "JavaScript JSX", 6, 0, 0, 3, 9
"d:\Najot Talim\6-oy\imtihon\src\components\header\index.jsx", "JavaScript JSX", 5, 0, 0, 1, 6
"d:\Najot Talim\6-oy\imtihon\src\components\header\navList.jsx", "JavaScript JSX", 19, 0, 0, 1, 20
"d:\Najot Talim\6-oy\imtihon\src\components\header\navListItem.jsx", "JavaScript JSX", 11, 0, 0, 2, 13
"d:\Najot Talim\6-oy\imtihon\src\components\hero\cardItem.jsx", "JavaScript JSX", 19, 0, 0, 2, 21
"d:\Najot Talim\6-oy\imtihon\src\components\hero\cards.jsx", "JavaScript JSX", 27, 0, 0, 4, 31
"d:\Najot Talim\6-oy\imtihon\src\components\hero\style.css", "PostCSS", 0, 77, 0, 9, 86
"d:\Najot Talim\6-oy\imtihon\src\components\review\reviews.jsx", "JavaScript JSX", 55, 0, 0, 6, 61
"d:\Najot Talim\6-oy\imtihon\src\components\review\reviewsItem.jsx", "JavaScript JSX", 37, 0, 0, 5, 42
"d:\Najot Talim\6-oy\imtihon\src\components\review\style.css", "PostCSS", 0, 23, 0, 1, 24
"d:\Najot Talim\6-oy\imtihon\src\context\Context.jsx", "JavaScript JSX", 247, 0, 0, 7, 254
"d:\Najot Talim\6-oy\imtihon\src\index.css", "PostCSS", 0, 75, 0, 4, 79
"d:\Najot Talim\6-oy\imtihon\src\main.jsx", "JavaScript JSX", 12, 0, 0, 3, 15
"d:\Najot Talim\6-oy\imtihon\src\modules\brands\brands.jsx", "JavaScript JSX", 14, 0, 0, 2, 16
"d:\Najot Talim\6-oy\imtihon\src\modules\cars\cars.jsx", "JavaScript JSX", 27, 0, 0, 3, 30
"d:\Najot Talim\6-oy\imtihon\src\modules\header\header.jsx", "JavaScript JSX", 34, 0, 0, 3, 37
"d:\Najot Talim\6-oy\imtihon\src\modules\hero\hero.jsx", "JavaScript JSX", 18, 0, 0, 2, 20
"d:\Najot Talim\6-oy\imtihon\src\modules\review\review.jsx", "JavaScript JSX", 35, 0, 0, 4, 39
"Total", "-", 1057, 175, 0, 156, 1388
